id,topic,conceptId,verificationStatus,scoreEligible,reference,referenceUrl,stem,correctAnswer
,כירורגיה,legacy_19,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו הטיפול הראשוני המקובל ב-alveolar osteitis (dry socket) ללא סימני זיהום מתפשט?,"שטיפה עדינה, אנלגזיה ובמידת הצורך חבישה מקומית מרגיעה"
20,פריודונטיה,legacy_20,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,כיצד מוגדרת ספיגת עצם אופקית?,זו אשר סופגת את פסגת הרכס האלבאורלי בכיוון אופקי בהשוואה למקומו המקורי
,פתולוגיה ורפואת הפה,legacy_21,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה ממצא רדיוגרפי אופייני במיוחד ל-fibrous dysplasia של הלסת?,Ground-glass appearance
22,חוק ואתיקה,legacy_22,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,Non-maleficence ברפואה משפטית ואתיקה משמעותו:,שהרופא צריך להימנע מגרימת נזק
23,פתולוגיה ורפואת הפה,legacy_23,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,באיזו בלוטת רוק מתרחשות אבני רוק (sialolithiasis) בשכיחות הגבוהה ביותר?,תת ליסתי Submandibular
24,כירורגיה,legacy_24,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה מהבאים לא נחשב לסעיף של הטריגמינל?,Posterior digastric
25,אנדודונטיה,legacy_25,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מתרפא מתלונן על כאב שן בזמן לעיסה של מזון קשה. מהי הבדיקה הרלוונטית ביותר לגילוי השן החשודה?,לעיסה על גליל צמר גפן
26,אנדודונטיה,legacy_26,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"בעקבות חשיפת מוך עששתית, המוך בשיניים קבועות צעירות עלול לעבור:",היפרפלזיה
27,רפואת שיניים לילדים,legacy_27,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מתי נחשוד שילד עובר התעללות?,חבורות בשלבי ריפוי שונים
28,פריודונטיה,legacy_28,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מי מהבקטריות הבאות היא? SPIROCHETE,TREPONEMA DENTICOLA
,אנדודונטיה,legacy_29,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"מטופל עם symptomatic irreversible pulpitis ללא נפיחות, חום או סימני התפשטות זיהום. מה נכון לגבי אנטיביוטיקה סיסטמית?",אינה נדרשת בדרך כלל; יש לבצע טיפול דנטלי מקומי מתאים
30,כירורגיה,legacy_30,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה עצב נמצא בסמיכות הכי גבוהה לבלוטה תת לסתית?,LINGUAL
31,רפואת שיניים לילדים,legacy_31,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה הכי ישפיע על הסיכון לפתח נגעי עששת בעתיד?,התנסות עששת בעבר
32,כירורגיה,legacy_32,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה מבין המצבים הבאים מכונה מכתשית יבשה (?)Dry Socket,Alveolar osteitis
33,רפואת שיניים לילדים,legacy_33,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"אין ניידות בשן שנחבלה, אך יש פגיעה ברקמה מסביב, מצב זה נקרא?",Concussion
34,שיקום וסגר,legacy_34,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהי המטרה העיקרית בביצוע Beadingו Boxing במטבע לתותבת שלמה,שימור של רוחב השוליים בתותבת
35,רפואת שיניים לילדים,legacy_35,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"נער בן 12 במהלך טיפול אורתודנטי נחבל בפניו לפני כחצי שנה, מאז נמצא במעקב בלבד, בביקורת לאחר חצי שנה שן 11 מעט צהבהבה ולא מגיבה לקור, מעבר לכך אין סימפטומים ו/או סימנים חריגים, ללא תלונה מצד המתרפא. לפניך צילום הרנטגן שבוצע לו, מה המלצתך לטיפול בשן זו?",מעקב והתייעצות עם האורתודנט לגבי המשך טיפול
36,משמרת וחומרים,legacy_36,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"מה הטיפול לע""ר למטופל המגיע למרפאתך לאחר שביצעת לו שחזור אמלגם, סובל מרגישות לקור, על השחזור אתה רואה נקודה מבריקה:",איזון סגרי
37,שיקום וסגר,legacy_37,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,במקרה שגובה החניכיים מעל השתל הוא מעל 6 מ״מ באיזה שיטת שיקום תבחר?,שיקום מוברג
38,אורתודונטיה,legacy_38,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,אילו תאים מגיעים בהפעלת לחץ על השורשים?,אוסטאוקלסטים
39,רפואת שיניים לילדים,legacy_39,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו הגורם החזק ביותר להתפתחות העששת?,התנסות קודמת בעששת
40,משמרת וחומרים,legacy_40,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו הפוטואיניציאטור הנפוץ בריאקציית הפילמור של קומפוזיט light-cure?,קמפקווינון Camphoroquinone
41,רפואת שיניים לילדים,legacy_41,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה מצב אינו מזוהה עם אנומליות דנטליות בילדים?,Hemophilia
42,פריודונטיה,legacy_42,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה מהחיידקים הבאים המעורבים במחלה פריודונטלית הוא מסוג ספירוכטה (דמוי סלילס)?,Treponema denticola
,כירורגיה,legacy_43,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו הצעד הראשוני המקובל בדימום מתמשך ממכתשית לאחר עקירה אצל מטופל יציב?,לחץ מקומי ישיר עם גזה והערכת מקור הדימום
44,רפואת שיניים לילדים,legacy_44,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,שיטת הצחצוח המומלצת לילד שבגיל 6 שנים?,שיטה הוריזונטלית
,פתולוגיה ורפואת הפה,legacy_45,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה שילוב ממצאים אופייני למחלת Behçet?,כיבים אפטוטיים חוזרים בפה עם כיבים גניטליים ולעיתים מעורבות עינית
46,פתולוגיה ורפואת הפה,legacy_46,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מטופל הגיע לבדיקה עם הצילום שלפניך. מה עליך לעשות?,"אם האבחנה היא cemento-osseous dysplasia, להשאיר למעקב"
47,פתולוגיה ורפואת הפה,legacy_47,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,בתמונה נראה ממצא של סימן ניקולסקי חיובי. מה הגורם האפשרי לממצא הקליני?,תגובה אוטואימונית
48,פתולוגיה ורפואת הפה,legacy_48,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,בן 13 הגיע עם נגע מורם לבן בגודל כ-3 מ״מ בשפה. במהלך הבדיקה הבחנת בנגע גם באצבע. מה נכון?,הנגע בשפה יכול להיות יבלת ויראלית הנגרמת על ידי HPV
49,פתולוגיה ורפואת הפה,legacy_49,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"פציינט בן 32 מתלונן על כאבים בחיך שקיים כבר כמה ימים, בלי תלונות נוספות. בבדיקה הבחנות בנגעים בגודל 2מ""מ מימין ומשמאל, מה האבחנה?",Recurrent intraoral herpes
50,פריודונטיה,legacy_50,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מטופלת שסיימת איתה הערכה מחדש במחלת חניכיים מתקדמת. מתי תבצע תחזוקה?,אחת ל 2-3-חודשים
51,פריודונטיה,legacy_51,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,לאיזו מהשיניים הבאות עם אובדן תאחיזה של 50% הפרוגנוזה הגרועה ביותר?,טוחנת מקסילרית ראשונה
52,כירורגיה,legacy_52,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו הסימן העיקרי למכתשית יבשה,כאבים מקרינים עם דופק וטעם רע
53,כירורגיה,legacy_53,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה נכון לגבי תופעת המכתשית היבשה ( Dry?)socket,נמצא קשר בינה לבין עישון לאחר עקירה
54,כירורגיה,legacy_54,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה מהבאים אינו סיבוך של שבר בזיגומה?,שיתוק עצב הפנים
55,פתולוגיה ורפואת הפה,legacy_55,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה משפט נכון לגבי Traumatic Bone Cyst?,זוהי פסאודוציסטה המופיעה לרוב בעשור השני לחיים
56,פתולוגיה ורפואת הפה,legacy_56,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,על מה לא תשים סטרואידים?,זיהום ויראלי
57,אנדודונטיה,legacy_57,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"מטופל מתלונן על כאבים מתמשכים בלסת תחתונה מימין. שן 46 אינה מגיבה לבדיקת חיות, רגישה לניקוש, וקיים כיס פריודונטלי צר ועמוק בצד הבוקלי של השורש המזיאלי. בצילום נראית הצללה סביב קצה השורש המזיאלי. מה עשוי להיות הגורם האטיולוגי?",שבר אורכי בשורש המזיאלי
58,אנדודונטיה,legacy_58,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,כיצד מתבצעת אבחנה בין גרנולמה פריאפיקלית לציסטה,בדיקה היסטופתולוגית של ביופסיה
59,שיקום וסגר,legacy_59,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מטופלת בת 35 מתלוננת על רווח חדש בין החותכות העליונות ומבקשת פתרון מהיר ואסתטי. מה הפעולה הראשונה שעליך לבצע?,לבדוק את המגעים הסגריים ואת מצב החניכיים
60,רפואת חולים מורכבים,legacy_60,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"מטופל עבר צינתור לבבי לפני 10 חודשים מקבל אספירין +פלביקס, זקוק להקצעת שורשים, מה הטיפול?",להיערך לטיפול מראש עם אמצעים מקומיים המוסטטים
61,אנדודונטיה,legacy_61,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"מתרפא מגיע לעזרה ראשונה ומציין שאתמול רופא אחר עשה לו אקסטרפציה מלאה, אך הוא סובל מכאבים בלעיסה. מה הטיפול המומלץ?",הורדת גובה של השן
62,רפואת שיניים לילדים,legacy_62,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהי שיטת הצחצוח הטובה ביותר שאותה מומלץ ללמד ילד בן 6 שנים?,Horizontal Scrub Technique
,רדיולוגיה,legacy_63,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה פורמט קבצים תקני משמש בדרך כלל להעברת סדרת CT/CBCT למערכת צפייה רפואית?,DICOM
64,פתולוגיה ורפואת הפה,legacy_64,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה מהבאים על רקע חיידקי?,Acute retrograde parotitis
65,פריודונטיה,legacy_65,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה נחשב כיס תת חניכי,"אמיתי, אפיקלי לשיא הרכס"
66,כירורגיה,legacy_66,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"מטופלת יומיים אחרי עקירת שן בינה, עם נפיחות מקומית וכאב חזק באזור העקירה, ללא חום או תסמינים סיסטמיים, איך תטפל?",משכך כאבים ומעקב
,רפואת חולים מורכבים,legacy_67,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהי השפעה כלייתית אפשרית של NSAIDs במטופל בסיכון?,הפחתת פרפוזיה כלייתית ופגיעה בתפקוד הכליה
68,רדיולוגיה,legacy_68,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה נראה טוב יותר ב CTמאשר ב?MRI,אבנים בבלוטות רוק
69,רדיולוגיה,legacy_69,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה מהתיאורים הרדיוגרפים מתאים ל-?Multiple myeloma,Punched out lesion
70,שיקום וסגר,legacy_70,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"תמיכה בתח""ל קנדי IIנשיג מ:",משיניים ורקמות רכות
71,חוק ואתיקה,legacy_71,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה אינו עיקרון של אתיקה רפואית?,הצעת תוכנית חלופית אפשרית לטיפול
72,כירורגיה,legacy_72,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה חלק במנדיבולה בסיכוי נמוך להישבר?,Coronoid
,אנדודונטיה,legacy_73,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"בשן עם תעלה מסוידת ונגע פריאפיקלי, מהו העיקרון הטיפולי לפני החלטה על כירורגיה אפיקלית?",להעריך אפשרות לטיפול אנדודונטי לא-כירורגי בעזרת הגדלה והדמיה מתאימה
74,רפואת שיניים לילדים,legacy_74,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה ריכוז הפלואוריד ב?Varnish-,"22,600"
75,פתולוגיה ורפואת הפה,legacy_75,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,משחת Triamcinolone 0.1%ניתנת לטיפול ב-,Recurrent Aphthosis
76,פריודונטיה,legacy_76,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו הגורם האטיולוגי הראשוני המרכזי לג׳ינג׳יביטיס מושרה-רובד?,ביופילם דנטלי
77,פריודונטיה,legacy_77,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה ממצא נדרש לצורך אבחנת periodontitis לעומת gingivitis?,אובדן תאחיזה קליני עקב מחלה פריודונטלית
78,פריודונטיה,legacy_78,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה מייצג BOP בבדיקה פריודונטלית?,Bleeding on probing
79,פריודונטיה,legacy_79,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,במה נמדד clinical attachment level?,מה-CEJ לבסיס הכיס
80,פריודונטיה,legacy_80,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה גורם הוא גורם סיכון משמעותי ומבוסס להתקדמות periodontitis?,עישון
81,פריודונטיה,legacy_81,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהי המטרה העיקרית של scaling and root planing?,הסרת ביופילם ואבנית תת-חניכיים
82,פריודונטיה,legacy_82,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזו בדיקה היא המתאימה ביותר לזיהוי furcation involvement קליני?,Nabers probe
83,פריודונטיה,legacy_83,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה תא אחראי בעיקר לספיגת עצם?,אוסטאוקלסט
84,פריודונטיה,legacy_84,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה תא אחראי בעיקר ליצירת עצם חדשה?,אוסטאובלסט
85,פריודונטיה,legacy_85,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו suprabony pocket?,בסיס הכיס קורונלי לשיא העצם
86,פריודונטיה,legacy_86,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו infrabony pocket?,בסיס הכיס אפיקלי לשיא העצם
87,פריודונטיה,legacy_87,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזו תבנית עצם מתאימה במיוחד לטיפול רגנרטיבי פריודונטלי?,פגם תוך-גרמי עמוק עם מספר קירות שמורים
88,פריודונטיה,legacy_88,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה חיידק משתייך לקומפלקס האדום?,Treponema denticola
89,פריודונטיה,legacy_89,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו אחד מסימני הדלקת החניכית המוקדמים ביותר?,דימום בפרובינג
90,פריודונטיה,legacy_90,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה מצב עלול להחמיר מחלה פריודונטלית בשל שליטה גליקמית ירודה?,סוכרת
91,אנדודונטיה,legacy_91,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזו בדיקה מעריכה תחושה עצבית של המוך ולא זרימת דם?,Cold test
92,אנדודונטיה,legacy_92,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,שן עם pulp necrosis צפויה בדרך כלל להגיב כיצד לבדיקת קור?,ללא תגובה
93,אנדודונטיה,legacy_93,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו חומר ההשקיה הנפוץ בזכות יכולתו להמיס רקמה אורגנית ולפעול אנטימיקרוביאלית?,Sodium hypochlorite
94,אנדודונטיה,legacy_94,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו התפקיד העיקרי של EDTA בטיפול שורש?,הסרת המרכיב האנאורגני של smear layer ו-chelation
95,אנדודונטיה,legacy_95,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו working length אידאלי מבחינה ביולוגית?,קרוב ל-apical constriction
96,אנדודונטיה,legacy_96,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה ממצא מחשיד במיוחד ל-vertical root fracture?,כיס צר ועמוק מבודד
97,אנדודונטיה,legacy_97,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהי מטרת rubber dam בטיפול שורש?,"בידוד, מניעת זיהום והגנה מפני שאיפת מכשירים"
98,אנדודונטיה,legacy_98,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזו אבחנה מתאימה לכאב חד וקצר לקור שנעלם מיד עם הסרת הגירוי?,Reversible pulpitis
99,אנדודונטיה,legacy_99,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזו אבחנה מתאימה לכאב ספונטני או כאב ממושך לאחר קור?,Symptomatic irreversible pulpitis
100,אנדודונטיה,legacy_100,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו apexogenesis?,שימור חיוניות מוך בשן קבועה צעירה כדי לאפשר המשך התפתחות שורש
101,אנדודונטיה,legacy_101,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו apexification?,הליך ליצירת מחסום אפיקלי בשן לא-חיונית עם אפקס פתוח
102,אנדודונטיה,legacy_102,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו הגורם המרכזי לכישלון אנדודונטי מתמשך?,זיהום מיקרוביאלי שנותר במערכת התעלות
103,אנדודונטיה,legacy_103,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"במקרה של acute apical abscess עם נפיחות פלוקטואנטית מקומית, מהו עיקרון הטיפול החשוב?",ניקוז ושליטה במקור הזיהום
104,אנדודונטיה,legacy_104,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה חומר משמש לעיתים קרובות כ-intracanal medicament בין פגישות?,Calcium hydroxide
105,אנדודונטיה,legacy_105,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהי המטרה של obturation?,לאטום את מערכת התעלות לאחר ניקוי ועיצוב
106,כירורגיה,legacy_106,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו dry socket?,Alveolar osteitis עם אובדן/פירוק קריש הדם לאחר עקירה
107,כירורגיה,legacy_107,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה עצב נמצא בסיכון בעת עקירת טוחנת שלישית תחתונה?,Inferior alveolar nerve
108,כירורגיה,legacy_108,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה עצב אחראי לתחושה כללית בשני השלישים הקדמיים של הלשון?,Lingual nerve
109,כירורגיה,legacy_109,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה עצב נושא טעם בשני השלישים הקדמיים של הלשון?,Chorda tympani דרך lingual nerve
110,כירורגיה,legacy_110,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהו הסימן הקלאסי ל-Ludwig angina?,זיהום דו-צדדי של מרווחים תת-לסתיים/תת-לשוניים עם הרמת רצפת הפה
111,כירורגיה,legacy_111,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה מצב מחייב הערכה דחופה של נתיב אוויר?,נפיחות רצפת הפה עם קושי בבליעה וקול משתנה
112,רדיולוגיה,legacy_112,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזו בדיקת הדמיה מדגימה רקמות קשות דנטליות וגרמיות ברזולוציה תלת-ממדית גבוהה יחסית?,CBCT
113,רדיולוגיה,legacy_113,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזו שיטת הדמיה עדיפה להדגמת דיסק ה-TMJ?,MRI
114,רדיולוגיה,legacy_114,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה צילום מתאים במיוחד לאבחון עששת פרוקסימלית בין שיניים אחוריות?,Bitewing
115,רדיולוגיה,legacy_115,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהי אחת הדרכים להפחית magnification בצילום תוך-פומי?,להגדיל source-to-object distance באמצעות long cone
116,פתולוגיה ורפואת הפה,legacy_116,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,נגע לבן שניתן להסרה בגירוד ומשאיר משטח אריתמטוטי מתאים במיוחד ל:,Pseudomembranous candidiasis
117,פתולוגיה ורפואת הפה,legacy_117,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,איזה ממצא אופייני ל-oral lichen planus רטיקולרי?,Wickham striae דו-צדדיות
